name,band,title,peak_date,peak_rank
*NSYNC,,It's Gonna Be Me,7/28/00,1
*NSYNC,,Music Of My Heart,10/15/99,2
*NSYNC,,Bye Bye Bye,4/14/00,4
*NSYNC,,This I Promise You,12/1/00,5
*NSYNC,,Girlfriend,4/5/02,5
*NSYNC,,A Little More Time On You,2/26/99,8
*NSYNC,,Gone,11/23/01,11
*NSYNC,,I Want You Back,5/1/98,13
*NSYNC,,Pop,6/15/01,19
*NSYNC,,Tearin' Up My Heart,12/4/98,59
*NSYNC,,I Drive Myself Crazy,5/7/99,67
JC Chasez,*NSYNC,Blowin' Me Up,2/28/03,35
JC Chasez,*NSYNC,Some Girls,2/13/04,88
Justin Timberlake,*NSYNC,SexyBack,9/8/06,1
Justin Timberlake,*NSYNC,My Love,11/10/06,1
Justin Timberlake,*NSYNC,What Goes Around...Comes Around,3/2/07,1
Justin Timberlake,*NSYNC,Can't Stop The Feeling!,5/27/16,1
Justin Timberlake,*NSYNC,Mirrors,6/14/13,2
Justin Timberlake,*NSYNC,Cry Me A River,1/31/03,3
Justin Timberlake,*NSYNC,Suit & Tie,4/5/13,3
Justin Timberlake,*NSYNC,Rock Your Body,5/9/03,5
Justin Timberlake,*NSYNC,Summer Love,6/8/07,6
Justin Timberlake,*NSYNC,Not A Bad Thing,5/2/14,8
Justin Timberlake,*NSYNC,Filthy,1/19/18,9
Justin Timberlake,*NSYNC,Say Something,2/9/18,9
Justin Timberlake,*NSYNC,Like I Love You,10/11/02,11
Justin Timberlake,*NSYNC,Hallelujah,2/12/10,13
Justin Timberlake,*NSYNC,LoveStoned,10/5/07,17
Justin Timberlake,*NSYNC,Until The End Of Time,12/14/07,17
Justin Timberlake,*NSYNC,Senorita,9/26/03,27
Justin Timberlake,*NSYNC,Take Back The Night,9/13/13,29
Justin Timberlake,*NSYNC,TKO,12/13/13,36
Justin Timberlake,*NSYNC,Pusher Love Girl,4/5/13,64
Justin Timberlake,*NSYNC,Supplies,2/2/18,71
Justin Timberlake,*NSYNC,Man Of The Woods,2/16/18,73
98º,,Give Me Just One Night,9/29/00,2
98º,,Because Of You,11/20/98,3
